Funder,Donation Amount,Year,"Type of Donations: (gift, sponsored projects...)",Columbia school,Columbia Affiliates,Which Specific Columbia Program?,Source,Specific Study DOI,Notes,Author Full Names,Article Title,Source Title,Affiliations,Funding Text,ISSN
Carnegie Corporation of New York Andrew Carnegie Fellowship; Minerva-United States Institute of Peace and Security Early Career Scholar Award; Helen Kellogg Institute for International Studies at the University of Notre Dame,,2022,,,,,0,10.1017/S0007123421000521,,"Daly, Sarah Zukerman",How Do Violent Politicians Govern? The Case of Paramilitary-Tied Mayors in Colombia,BRITISH JOURNAL OF POLITICAL SCIENCE,Columbia University,This work was supported by: a Carnegie Corporation of New York Andrew Carnegie Fellowship; a Minerva-United States Institute of Peace and Security Early Career Scholar Award; and a research grant from the Helen Kellogg Institute for International Studies at the University of Notre Dame. The statements made and views expressed are solely my responsibility.,0007-1234
Canadian International Development Agency (CIDA) through Helen Keller International; United Nations Children's Fund (UNICEF),,2015,,,,,0,10.1093/inthealth/ihu073,,"Sesay, Fatmata F.; Hodges, Mary H.; Kamara, Habib I.; Turay, Mohamed; Wolfe, Adam; Samba, Thomas T.; Koroma, Aminata S.; Kamara, Wogba; Fall, Amadou; Mitula, Pamela; Conteh, Ishata; Maksha, Nuhu; Jambai, Amara",High coverage of vitamin A supplementation and measles vaccination during an integrated Maternal and Child Health Week in Sierra Leone,INTERNATIONAL HEALTH,Columbia University; Ministry of Health & Sanitation Sierra Leone; Ministry of Health & Sanitation Sierra Leone; Ministry of Health & Sanitation Sierra Leone; World Health Organization; Ministry of Health & Sanitation Sierra Leone,This work was funded by the Canadian International Development Agency (CIDA) through Helen Keller International and United Nations Children's Fund (UNICEF).,1876-3413
NIH(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Francis Goelet; Helen Hay Whitney Foundation; Austrian Science Fund (FWF)(Austrian Science Fund (FWF)),,2010,,,,,0,10.1261/rna.1931510,,"Didiano, Dominic; Cochella, Luisa; Tursun, Baris; Hobert, Oliver",Neuron-type specific regulation of a 3′UTR through redundant and combinatorially acting cis-regulatory elements,RNA,Columbia University; Howard Hughes Medical Institute,"We thank Q. Chen for expert technical assistance in generation transgenic lines and Ezequiel Alvarez-Saavedra, Eric Miska, and Robert H. Horvitz for kindly providing miRNA deletion alleles prior to publication. We acknowledge funding by the NIH (R01NS039996-05; R01NS050266-03). D. D. was funded by an NIH predoctoral fellowship, B. T. is funded by a Francis Goelet Postdoctoral Fellowship, and L. C. is funded by a postdoctoral fellowship from the Helen Hay Whitney Foundation. O. H. is an Investigator of the HHMI.",1355-8382
NIH(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Revson postdoctoral fellowship; Helen Hay Whitney postdoctoral fellowship; Austrian Science Fund (FWF)(Austrian Science Fund (FWF)),,2011,,,,,0,10.1371/journal.pgen.1002109,,"Poole, Richard J.; Bashllari, Enkelejda; Cochella, Luisa; Flowers, Eileen B.; Hobert, Oliver",A Genome-Wide RNAi Screen for Factors Involved in Neuronal Specification in Caenorhabditis elegans,PLOS GENETICS,Columbia University; Howard Hughes Medical Institute,"This work was funded by the NIH (1R03NS064482). RJP was funded by a Revson postdoctoral fellowship and LC by a Helen Hay Whitney postdoctoral fellowship. OH is an Investigator of the HHMI. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",1553-7404
EU FP7 VERE; HBP flagship grants; Helen and Martin Kimmel Award; ICORE program (ISF),,2015,,,,,0,10.1152/jn.00943.2014,,"Podvalny, Ella; Noy, Niv; Harel, Michal; Bickel, Stephan; Chechik, Gal; Schroeder, Charles E.; Mehta, Ashesh D.; Tsodyks, Misha; Malach, Rafael",A unifying principle underlying the extracellular field potential spectral responses in the human cortex,JOURNAL OF NEUROPHYSIOLOGY,Weizmann Institute of Science; Bar Ilan University; Yeshiva University; Albert Einstein College of Medicine; Northwell Health; Hofstra University; Northwell Health; Nathan Kline Institute for Psychiatric Research; Columbia University,"This work was funded by the EU FP7 VERE, ICORE program (ISF 51/11), HBP flagship grants, and the Helen and Martin Kimmel Award to R. Malach.",0022-3077
"Orthopaedic Hospital, Los Angeles, CA; Carolinas Medical Center, Charlotte, NC; Regional Bone Center, Helen Hayes Hospital, West Haverstraw, NY",,2009,,,,,0,10.3109/08977190903152644,,"Rude, Robert K.; Wei, Livia; Norton, H. James; Lu, Shi Shou; Dempster, David W.; Gruber, Helen E.",TNFα receptor knockout in mice reduces adverse effects of magnesium deficiency on bone,GROWTH FACTORS,University of Southern California; University of Southern California; Carolinas Medical Center; Columbia University,"This research was supported by funds from the Orthopaedic Hospital, Los Angeles, CA, Carolinas Medical Center, Charlotte, NC, and the Regional Bone Center, Helen Hayes Hospital, West Haverstraw, NY.",0897-7194
Helen Hay Whitney Foundation; Pew Biomedical Scholar Award; McKnight Scholar Award; Hirschl Award; Alfred P. Sloan Foundation Award; Sinsheimer Foundation Award; National Institutes of Health Director's New Innovator Award(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA),,2015,,,,,0,10.1016/j.neuron.2015.07.025,,"Clowney, E. Josephine; Iguchi, Shinya; Bussell, Jennifer J.; Scheer, Elias; Ruta, Vanessa",Multimodal Chemosensory Circuits Controlling Male Courtship in Drosophila,NEURON,Rockefeller University; Columbia University,"We thank Claudio Pikielny, Kristin Scott, Bruce Baker, David Anderson, Tom Turner, and John Carlson for providing fly strains; Adam Samulak and Eva Luderowski for technical assistance; members of the G. Maimon, L. Vosshall, and V.R. labs for experimental advice and discussion; and Leslie Vosshall, Barbara Noro, Nilay Yapici, Sandeep Robert Datta, and members of the V.R. lab for comments on the manuscript. This work was supported by a Leon Levy Fellowship and the Simons Fellowship of the Helen Hay Whitney Foundation to E.J.C. and V.R. is a New York Stem Cell Foundation's Robertson Neuroscience Investigator and supported by a Pew Biomedical Scholar Award, a McKnight Scholar Award, a Hirschl Award, the Alfred P. Sloan Foundation Award, a Sinsheimer Foundation Award, and a National Institutes of Health Director's New Innovator Award (DP2 NS0879422013).",0896-6273
Helen Hay Whitney Foundation; NIH(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Harold and Leila Y. Mathers Foundation; Project A.L.S.,,2013,,,,,0,10.1016/j.neuron.2013.01.015,,"de Nooij, Joriene C.; Doobar, Staceyann; Jessell, Thomas M.",Etv1 Inactivation Reveals Proprioceptor Subclasses that Reflect the Level of NT3 Expression in Muscle Targets,NEURON,Howard Hughes Medical Institute; Columbia University; Columbia University; Howard Hughes Medical Institute,"We thank Andy Liu and Ira Schieren for technical help, Barbara Han, Susan Brenner-Morton, Monica Mendelsohn, and Jennifer Kirkland for help with generation of antibodies and mouse strains, Neil Shneider for providing the hEGR3 promoter construct and information on its MS expression, and Stephane Nedelec and Annina DeLeo for advice on qRT-PCR experiments. We are grateful to S. Arber, D. Wright, W. Snider, and S. Dufour for mouse strains, and to Eiman Azim, Jay Bikoff, Nikolaos Balaskas, George Mentis, Sebastian Poliak, and Niccolo Zampieri for comments on the manuscript. J.C.N. was supported by a Helen Hay Whitney Foundation fellowship. T.M.J. was supported by NIH grant NS033245, the Harold and Leila Y. Mathers Foundation, and Project A.L.S. T.M.J. is an HHMI Investigator.",0896-6273
Helen Hay Whitney Foundation; National Institutes of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); HHMI(Howard Hughes Medical Institute); Austrian Science Fund (FWF)(Austrian Science Fund (FWF)),,2012,,,,,0,10.1016/j.cell.2012.10.049,,"Cochella, Luisa; Hobert, Oliver",Embryonic Priming of a miRNA Locus Predetermines Postmitotic Neuronal Left/Right Asymmetry in C. elegans,CELL,Columbia University; Howard Hughes Medical Institute,"We thank I. Greenwald, W. Grueber, R. Mann, and members of the Hobert lab for helpful discussions and comments on the manuscript. We thank P. Meister, S. Gasser, and S. Mango for advice and reagents; I. Topalidou for help with the smFISH; the CGC for strains; Q. Chen for assistance with microinjections; and A. Boyanov for help with obtaining integrated transgenes. L.C. was funded by a postdoctoral fellowship from the Helen Hay Whitney Foundation. This work was funded in part by the National Institutes of Health (R01NS039996-05 and R01NS050266-03) and by the HHMI.",0092-8674
Simons Foundation; Helen Hay Whitney Foundation Fellowship; National Science Foundation(National Science Foundation (NSF)); Stanford University DARE Doctoral Fellowship Program (HLP); Simons Collaboration on the Global Brain grant,,2024,,,,,0,10.7554/eLife.84770,,"Payne, Hannah L.; Raymond, Jennifer L.; Goldman, Mark S.",Interactions between circuit architecture and plasticity in a closed-loop cerebellar system,ELIFE,Columbia University; University of California System; University of California Davis; University of California System; University of California Davis,"We thank Jay Bhasin for comments on the manuscript, and Salomon Muller and Emre Aksay for helpful discussions. Funding: This work was supported by the Helen Hay Whitney Foundation Fellowship, National Science Foundation grants DGE-114747 and 0801700, and the Stanford University DARE Doctoral Fellowship Program (HLP), NIH R01 NS104926 (MSG), R01 DC004154 (JLR and MSG), R01 NS072406 (JLR), and a Simons Collaboration on the Global Brain grant (JLR and MSG). In preparing this manuscript, we made a conscious effort to address citation bias. Following the approach outlined in Dworkin et al., 2020, we used open source code to assess the gender and racial balance of our citations based on the first names of the first and last authors (Zhou et al., 2022). Excluding self-citations to the first and last authors of our current paper, our references contain: 8.82% woman (first author)/woman (last author), 7.13% man/woman, 15.69% woman/man, and 68.36% man/man; and 9.75% author of color /author of color, 17.36% white author/author of color, 24.48% author of color/white author, and 48.41% white author/white author. Due to the historical nature of our inquiry, we also analyzed the gender balance of our citations published after the year 2000, and this subset of references contain: 16.07% woman/woman, 10.71% man/woman, 17.86% woman/man, and 55.36% man/man.",2050-084X
Foundation for the National Institutes of Health through the Grand Challenges in Global Health Initiative; Helen Hay Whitney Foundation; Burroughs Welcome Fund(Burroughs Wellcome Fund); Howard Hughes Medical Institute(Howard Hughes Medical Institute),,2010,,,,,0,10.1038/nature09554,,"Ruta, Vanessa; Datta, Sandeep Robert; Vasconcelos, Maria Luisa; Freeland, Jessica; Looger, Loren L.; Axel, Richard",A dimorphic pheromone circuit in Drosophila from sensory input to descending output,NATURE,Columbia University; Howard Hughes Medical Institute; Columbia University; Howard Hughes Medical Institute,"We thank T. Jessell, C. Zuker and members of the Axel laboratory for discussion and comments on this manuscript; J. Flores for technical assistance; B. Dickson for reagents; P. Kisloff for assistance in the preparation of this manuscript; and M. Gutierrez and A. Nemes for general laboratory support. This work was funded in part by a grant from the Foundation for the National Institutes of Health through the Grand Challenges in Global Health Initiative. Further financial support was provided by the Helen Hay Whitney Foundation (V.R. and S.R.D.), the Burroughs Welcome Fund (S.R.D.) and the Howard Hughes Medical Institute (R.A. and L.L.L.).",0028-0836
Burroughs Wellcome Fund(Burroughs Wellcome Fund); National Institutes of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Howard Hughes Medical Institute(Howard Hughes Medical Institute); Foundation for the National Institutes of Health through the Grand Challenges in Global Health initiative(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Helen Hay Whitney Foundation,,2011,,,,,0,10.1038/nature09868,,"Sosulski, Dara L.; Bloom, Maria Lissitsyna; Cutforth, Tyler; Axel, Richard; Datta, Sandeep Robert",Distinct representations of olfactory information in different cortical centres,NATURE,Columbia University; Columbia University; Howard Hughes Medical Institute,"We thank members of the R.A. and S.R.D. laboratories for comments and advice, B. Shykind for mice with GFP-labelled olfactory receptor neurons, S. X. Luo for image alignment advice, D. M. Bear for cross-correlation analysis advice, D. Padfield for Matlab code, R. Wilson for comments on the manuscript and P. Kisloff for manuscript preparation assistance. Financial support was provided by a Helen Hay Whitney Foundation Fellowship, a Career Award in the Medical Sciences grant from the Burroughs Wellcome Fund, and funding from the National Institutes of Health through the NIH Director's New Innovator Award Program (DP2-OD-007109) (S.R.D.), a Ruth L. Kirschstein National Research Service Award predoctoral fellowship from the National Institutes of Health (D.L.S.), and the Howard Hughes Medical Institute and a grant from the Foundation for the National Institutes of Health through the Grand Challenges in Global Health initiative (R.A.).",0028-0836
Helen Hay Whitney Foundation Fellowship; New York Stem Cell Foundation-Robertson Neuroscience Investigator Award; Beckman Young Investigator Award; NIH New Innovator Award(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA),,2021,,,,,0,10.1126/science.abg2009,,"Payne, H. L.; Lynch, G. F.; Aronov, D.",Neural representations of space in the hippocampus of a food-caching bird,SCIENCE,Columbia University; Massachusetts Institute of Technology (MIT),"This work was supported by the Helen Hay Whitney Foundation Fellowship (to H.L.P.), a New York Stem Cell Foundation-Robertson Neuroscience Investigator Award, a Beckman Young Investigator Award, and an NIH New Innovator Award (DP2 AG071918-01).",0036-8075
Helen Hay Whitney Foundation; NSF NeuroNex; Gatsby Charitable Foundation; Simons Collaboration for the Global Brain; Howard Hughes Medical Institute(Howard Hughes Medical Institute); Howard Hughes Medical Institute (HHMI)(Howard Hughes Medical Institute),,2021,,,,,0,10.1016/j.neuron.2021.09.055,,"Fischler-Ruiz, Walter; Clark, David G.; Joshi, Narendra R.; Devi-Chou, Virginia; Kitch, Lacey; Schnitzer, Mark; Abbott, L. F.; Axel, Richard",Olfactory landmarks and path integration converge to form a cognitive spatial map,NEURON,Columbia University; Stanford University; Stanford University; Stanford University; Howard Hughes Medical Institute; Columbia University; Columbia University; Howard Hughes Medical Institute; Columbia University,"We thank Attila Losonczy, Matt Lovett-Barron, and Patrick Kaifosh for exper-imental advice; Bert Vancura and Yolanda Zafrina for technical assistance; Dmitriy Aronov for comments on the manuscript; Barbara Noro for helpful comments and suggestions; Clayton Eccard for assistance in preparation of the manuscript; and Phyllis Kisloff, Miriam Gutierrez and Adriana Nemes for general laboratory support. This work is supported by The Helen Hay Whitney Foundation (W.F.) , NSF NeuroNex Award DBI-1707398 (L.F.A.) , the Gatsby Charitable Foundation (L.F.A.) , the Simons Collaboration for the Global Brain (L.F.A.) , and Howard Hughes Medical Institute (M.J.S. and R.A.) . R.A. and M.J.S. are HHMI investigators. This work was funded and supported by the Howard Hughes Medical Institute (HHMI) .",0896-6273
"Albert Einstein College of Medicine; Columbia University Medical Center; Helen and Martin Kimmel Center for Stem Cell Biology, New York University School of Medicine; Mount Sinai School of Medicine",,2011,,,,,0,10.1111/j.1749-6632.2011.06038.x,,"Marshall, Caroline; Wang, George Kai; Cimetta, Elisa; Talchai, Chutima; Egli, Dieter; Shim, Jae-Won; Martin, Ian; Ahmad, Faizzan; Sproul, Andrew; Chen, Ting; Fossati, Valentina; McKeon, David; Smith, Kristin; Solomon, Susan L.",The New York Stem Cell Foundation: Fifth Annual Translational Stem Cell Research Conference,ANNALS MEETING REPORTS,The New York Stem Cell Foundation; Columbia University; Memorial Sloan Kettering Cancer Center; Johns Hopkins University; Rockefeller University,"Albert Einstein College of Medicine; Columbia University Medical Center; Helen and Martin Kimmel Center for Stem Cell Biology, New York University School of Medicine; Mount Sinai School of Medicine",0077-8923
National Science Foundation(National Science Foundation (NSF)); National Institute of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Helen Hay Whitney Foundation; Searle Scholars Program,,2018,,,,,0,10.1093/nar/gky556,,"Duffy, Erin E.; Canzio, Daniele; Maniatis, Tom; Simon, Matthew D.",Solid phase chemistry to covalently and reversibly capture thiolated RNA,NUCLEIC ACIDS RESEARCH,Yale University; Yale University; Columbia University,"National Science Foundation [DGE1122492 to E.E.D.]; National Institute of Health [T32GM007223 to E.E.D., R01MH108579 to T.M., 1DP2HD083992 to M.D.S.]; Helen Hay Whitney Foundation [to D.C.]; Searle Scholars Program [to M.D.S.]. Funding for the open access charge: National Institute of Health [1DP2HD083992 to M.D.S.].",0305-1048
European Research Council under the EU Horizon 2020 Research and Innovation Program(European Research Council (ERC)); Minerva Foundation - Federal German Ministry for Education and Research; Irving B. Harris Fund for New Directions in Brain Research; United States Israel Binational Science Foundation(US-Israel Binational Science Foundation); Helen Diller Family Professorial Chair of Neurobiology; European Research Council (ERC)(European Research Council (ERC)Spanish Government),,2021,,,,,0,10.1523/JNEUROSCI.1410-20.2021,,"Ebert, Coralie; Bagdasarian, Knarik; Haidarliu, Sebastian; Ahissar, Ehud; Wallach, Avner",Interactions of Whisking and Touch Signals in the Rat Brainstem,JOURNAL OF NEUROSCIENCE,Weizmann Institute of Science; Columbia University,"This work was supported by European Research Council under the EU Horizon 2020 Research and Innovation Program Grant Agreement 786949, Minerva Foundation funded by the Federal German Ministry for Education and Research, United StatesIsrael Binational Science Foundation Grant 2017216, and Irving B. Harris Fund for New Directions in Brain Research. E.A. holds the Helen Diller Family Professorial Chair of Neurobiology. We thank Martin Deschenes and Ilan Lampl for helpful comments and discussions.",0270-6474
Army Research Laboratory(United States Department of DefenseUS Army Research Laboratory (ARL)); Army Research Office; David and Helen Gurley Brown Institute for Media Innovation at the Columbia University Graduate School of Journalism,,2014,,,,,0,10.1145/2647868.2654909,,"Zhang, John R.; Sherwin, Jason; Dmochowski, Jacek; Sajda, Paul; Kender, John R.",Correlating Speaker Gestures in Political Debates with Audience Engagement Measured via EEG,PROCEEDINGS OF THE 2014 ACM CONFERENCE ON MULTIMEDIA (MM'14),Columbia University; Columbia University; Stanford University,"This research was partially supported by the Army Research Laboratory (under Cooperative Agreement Number W911NF-10-2-0022 and W911NF-12-2-0019), the Army Research Office (W911NF-11-1-0219) and a fellowship funded by the David and Helen Gurley Brown Institute for Media Innovation at the Columbia University Graduate School of Journalism. The views and conclusions contained in this document are those of the authors and should not be interpreted as representing the official policies, either expressed or implied, of the Army Research Laboratory or the U.S. Government.",
New York State Spinal Cord Injury Research Trust; National Institutes of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Helen Hayes Hospital Foundation,,2015,,,,,0,10.1177/1073858414527541,,"Thompson, Aiko K.; Wolpaw, Jonathan R.",Restoring Walking after Spinal Cord Injury: Operant Conditioning of Spinal Reflexes Can Help,NEUROSCIENTIST,Wadsworth Center; State University of New York (SUNY) System; Columbia University; State University of New York (SUNY) System; State University of New York (SUNY) Albany,"The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported in part by the New York State Spinal Cord Injury Research Trust (C023685 to AKT); the National Institutes of Health (NS069551 to AKT, NS22189 to JRW, and NS061823 to JRW and Xiang Yang Chen); and the Helen Hayes Hospital Foundation (to AKT).",1073-8584
"Robert J. Kleberg, Jr., and Helen C. Kleberg Foundation; NIA/NIH(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Aging (NIA))",,2019,,,,,0,10.1186/s13024-019-0322-8,,"Micci, Maria-Adelaide; Krishnan, Balaji; Bishop, Elizabeth; Zhang, Wen-Ru; Guptarak, Jutatip; Grant, Auston; Zolochevska, Olga; Tumurbaatar, Batbayar; Franklin, Whitney; Marino, Claudia; Widen, Steven G.; Luthra, Arjun; Kernie, Steven G.; Taglialatela, Giulio",Hippocampal stem cells promotes synaptic resistance to the dysfunctional impact of amyloid beta oligomers via secreted exosomes,MOLECULAR NEURODEGENERATION,University of Texas System; University of Texas Medical Branch Galveston; University of Texas System; University of Texas Medical Branch Galveston; University of Texas System; University of Texas Medical Branch Galveston; University of Texas System; University of Texas Austin; Columbia University,"Supported by a grant from the Robert J. Kleberg, Jr., and Helen C. Kleberg Foundation and NIA/NIH 5R01AG042890 and R56AG058281.",
New York State Spinal Cord Injury Research Trust; National Institutes of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Helen Hayes Hospital Foundation,,2014,,,,,0,10.1249/JES.0000000000000010,,"Thompson, Aiko K.; Wolpaw, Jonathan R.",The Simplest Motor Skill: Mechanisms and Applications of Reflex Operant Conditioning,EXERCISE AND SPORT SCIENCES REVIEWS,State University of New York (SUNY) System; Wadsworth Center; Columbia University; State University of New York (SUNY) System; State University of New York (SUNY) Albany,"This work was supported in part by the New York State Spinal Cord Injury Research Trust (C023685 to A.K. Thompson); the National Institutes of Health (NS069551 to A.K. Thompson, NS22189 to J.R. Wolpaw, and NS061823 to J.R. Wolpaw and Xiang Yang Chen); and the Helen Hayes Hospital Foundation (to A.K. Thompson). The authors recognize the work of other researchers that could not be cited because of the journal's reference limitations.",0091-6331
Michael J. Fox Foundation; Robert and Ruth Halperin Foundation; John A. Blume Foundation; Helen M. Cahill Award for Research in Parkinson's disease,,2019,,,,,0,10.1016/j.brs.2019.02.020,,"Velisar, A.; Syrkin-Nikolau, J.; Blumenfeld, Z.; Trager, M. H.; Afzal, M. F.; Prabhakar, V.; Bronte-Stewart, H.",Dual threshold neural closed loop deep brain stimulation in Parkinson disease patients,BRAIN STIMULATION,Stanford University; Stanford University; The Smith-Kettlewell Eye Research Institute; University of Southern California; Columbia University; Icahn School of Medicine at Mount Sinai,"The work done by authors was supported by the Michael J. Fox Foundation for Parkinson's research [grant number 9605]; the Robert and Ruth Halperin Foundation, the John A. Blume Foundation, and the Helen M. Cahill Award for Research in Parkinson's disease.",1935-861X
National Institutes of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Pussycat Foundation Helen Gurley Brown Presidential Initiative,,2021,,,,,0,10.1007/s10689-020-00198-x,,"Ukaegbu, Chinedu; Levi, Zohar; Fehlmann, Tara D.; Uno, Hajime; Chittenden, Anu; Inra, Jennifer A.; Grover, Shilpa; Kastrinos, Fay; Syngal, Sapna; Yurgelun, Matthew B.",Characterizing germline APC and MUTYH variants in Ashkenazi Jews compared to other individuals,FAMILIAL CANCER,Harvard University; Dana-Farber Cancer Institute; Harvard University; Harvard Medical School; Rabin Medical Center; Tel Aviv University; Biogen; Harvard University; Brigham & Women's Hospital; Columbia University,"Supported by the National Institutes of Health 2R01CA132829 (Dr. Syngal), The Pussycat Foundation Helen Gurley Brown Presidential Initiative (Dr. Ukaegbu) and the National Institutes of Health T32 GM007748 (Dr. Ukaegbu).",1389-9600
National Institutes of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); Crohn's and Colitis Foundation of America; Howard Hughes Medical Institute(Howard Hughes Medical Institute); Helen and Martin Kimmel Center for Biology and Medicine,,2011,,,,,0,10.1016/j.mib.2010.12.003,,"Ivanov, Ivaylo I.; Littman, Dan R.",Modulation of immune homeostasis by commensal bacteria,CURRENT OPINION IN MICROBIOLOGY,Columbia University; New York University; Howard Hughes Medical Institute,I.I.I.. is supported by the National Institutes of Health and the Crohn's and Colitis Foundation of America and D.R.L. by the Howard Hughes Medical Institute and the Helen and Martin Kimmel Center for Biology and Medicine.,1369-5274
"Robertson Foundation; Albert Einstein College of Medicine; Columbia University Medical Center; Helen and Martin Kimmel Center for Stem Cell Biology, New York University School of Medicine; Mount Sinai School of Medicine; Memorial Sloan-Kettering Cancer Center; Rockefeller University; Weill Cornell Medical College",,2012,,,,,0,10.1111/j.1749-6632.2012.06481.x,,"Marshall, Caroline; Hua, Haiqing; Shang, Linshan; Ding, Bi-Sen; Zito, Giovanni; de Peppo, Giuseppe Maria; Wang, George Kai; Douvaras, Panagiotis; Sproul, Andrew A.; Paull, Daniel; Fossati, Valentina; Nestor, Michael W.; McKeon, David; Smith, Kristin A.; Solomon, Susan L.",The Sixth Annual Translational Stem Cell Research Conference of the New York Stem Cell Foundation,ANNALS MEETING REPORTS,The New York Stem Cell Foundation; Columbia University; Cornell University; Weill Cornell Medicine; Yale University,"Principal Sponsor; Robertson Foundation; Co-sponsoring Institutions; Albert Einstein College of Medicine; Columbia University Medical Center; Helen and Martin Kimmel Center for Stem Cell Biology, New York University School of Medicine; Mount Sinai School of Medicine; Tri-Institutional Stem Cell Initiative:; Memorial Sloan-Kettering Cancer Center; The Rockefeller University; Weill Cornell Medical College",
Helen Hay Whitney Foundation fellowship; NIH(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA); NINDS(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of Neurological Disorders & Stroke (NINDS)); Leila and Harold Mathers Foundation; ProjectALS,,2016,,,,,0,10.1016/j.cell.2015.12.049,,"Poliak, Sebastian; Norovich, Amy L.; Yamagata, Masahito; Sanes, Joshua R.; Jessell, Thomas M.",Muscle-type Identity of Proprioceptors Specified by Spatially Restricted Signals from Limb Mesenchyme,CELL,Columbia University; Columbia University; Howard Hughes Medical Institute; Columbia University; Harvard University; Harvard University,"We are grateful to Qiaolian Liu for assistance, Gulsen Surmeli for help with muscle injections and DRG dissections, Sean O'Keeffe for RNA-seq data analysis, Irina de la Huerta for initial characterization of Cdh13-CreERT2 mice, and Randy Johnson and Rajeshwar Awatramani for Rosa26::lox-STOP- lox::Lmx1b mice. We thank Nikolaos Balaskas, Joriene de Nooij, Andrew Murray, and David Ng for critical comments on the manuscript; Kathy McArthur for secretarial assistance; and Ira Schieren for graphics. Erica Famojure, Barbara Han, Susan Brenner-Morton, Monica Mendelsohn, and Nataliya Zabello provided lab support. S.P. was supported by a Helen Hay Whitney Foundation fellowship. J.R.S. was supported by grants from NIH. T.M.J. is an HHMI investigator and is supported by grants from NINDS, The Leila and Harold Mathers Foundation, and ProjectALS.",0092-8674
European Research Council Starting Grant CisTune; Helen Hay Whitney Foundation; National Institute on Deafness and Other Communication Disorders(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute on Deafness & Other Communication Disorders (NIDCD)); Max Planck Society (Lise Meitner Excellence Program),,2024,,,,,0,10.1242/dev.201741,,"Kanata, Eleni; Duffie, Rachel; Schulz, Edda G.",Establishment and maintenance of random monoallelic expression,DEVELOPMENT,Max Planck Society; Columbia University,"This work was supported by a European Research Council Starting Grant CisTune (948771 to E.G.S.), by a Helen Hay Whitney Foundation postdoctoral fellowship and by the National Institute on Deafness and Other Communication Disorders (R21 DC017823 to R.D.). Open Access funding provided by the Max Planck Society (Lise Meitner Excellence Program) . Deposited in PMC for immediate release.",0950-1991
NIH (NCI)(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Cancer Institute (NCI)); Pussycat Foundation Helen Gurley Brown Presidential Initiative,,2020,,,,,0,10.1158/1055-9965.EPI-19-0213,,"Wischhusen, Jonathan W.; Ukaegbu, Chinedu; Dhingra, Tara G.; Uno, Hajime; Kastrinos, Fay; Syngal, Sapna; Yurgelun, Matthew B.",Clinical Factors Associated with Urinary Tract Cancer in Individuals with Lynch Syndrome,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,Harvard University; Beth Israel Deaconess Medical Center; Harvard University; Dana-Farber Cancer Institute; Columbia University; Harvard University; Harvard Medical School; Harvard University; Brigham & Women's Hospital,"This work was supported by the NIH (NCI) K24CA113433 (to S. Syngal), R01CA132829 (to S. Syngal), K07CA151769 (to F. Kastrinos), and The Pussycat Foundation Helen Gurley Brown Presidential Initiative (to C. Ukaegbu).",1055-9965
